name,property_Type,place,link
"Le Cornouaille Hotel, Bénodet", Hotel , France > Brittany > BENODET ,https://www.brittany-ferries.co.uk/holidays/details/hf2753/le-cornouaille-hotel-benodet
"Quality Hotel la Marébaudière, Vannes", Hotel , France > Brittany > VANNES ,https://www.brittany-ferries.co.uk/holidays/details/hf2583/quality-hotel-la-marebaudiere-vannes
"Grand Hotel de Solesmes, Solesmes", Hotel , France > Atlantic Loire Valley > SOLESMES ,https://www.brittany-ferries.co.uk/holidays/details/hf0637/grand-hotel-de-solesmes-solesmes
"Hotel le Plantagenêt, Chinon", Hotel , France > Loire Valley > CHINON ,https://www.brittany-ferries.co.uk/holidays/details/hf2852/hotel-le-plantagenet-chinon
"Armoric Hotel, Bénodet", Hotel , France > Brittany > BENODET ,https://www.brittany-ferries.co.uk/holidays/details/hf1856/armoric-hotel-benodet
"Hotel du Golf de St Laurent, Carnac - Ploemel", Hotel , France > Brittany > PLOEMEL ,https://www.brittany-ferries.co.uk/holidays/details/hf2787/hotel-du-golf-de-st-laurent-carnac-ploemel
"Le Manoir du Rodoir, La Roche Bernard", Hotel , France > Brittany > LA ROCHE BERNARD ,https://www.brittany-ferries.co.uk/holidays/details/hf2804/le-manoir-du-rodoir-la-roche-bernard
"Hotel Mercure, Cabourg", Hotel , France > Normandy > CABOURG ,https://www.brittany-ferries.co.uk/holidays/details/hf1458/hotel-mercure-cabourg
"Le Moulin de Ducey, Mont St Michel - Ducey", Hotel , France > Normandy > DUCEY ,https://www.brittany-ferries.co.uk/holidays/details/hf0806/le-moulin-de-ducey-mont-st-michel-ducey
"L'Orangerie Château des Reynats, Périgueux", Hotel , France > Aquitaine > CHANCELADE ,https://www.brittany-ferries.co.uk/holidays/details/hf2756/lorangerie-chateau-des-reynats-perigueux
"Domaine de Bodeuc, La Roche Bernard", Hotel , France > Brittany > NIVILLAC ,https://www.brittany-ferries.co.uk/holidays/details/hf2758/domaine-de-bodeuc-la-roche-bernard
"Escale Oceania Pornichet, Pornichet", Hotel , France > Atlantic Loire Valley > PORNICHET ,https://www.brittany-ferries.co.uk/holidays/details/hf2863/escale-oceania-pornichet-pornichet
"Hotel Mercure Front de Mer, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf2509/hotel-mercure-front-de-mer-st-malo
"Hotel du Château, Josselin", Hotel , France > Brittany > JOSSELIN ,https://www.brittany-ferries.co.uk/holidays/details/hf0259/hotel-du-chateau-josselin
"Hotel des Châteaux, Azay le Rideau", Hotel , France > Loire Valley > AZAY LE RIDEAU ,https://www.brittany-ferries.co.uk/holidays/details/hf2499/hotel-des-chateaux-azay-le-rideau
"L'Hostellerie du Château de Bricquebec, Bricquebec", Hotel , France > Normandy > BRICQUEBEC ,https://www.brittany-ferries.co.uk/holidays/details/hf0084/lhostellerie-du-chateau-de-bricquebec-bricquebec
"Hotel Ar Milin', Châteaubourg", Hotel , France > Brittany > CHATEAUBOURG ,https://www.brittany-ferries.co.uk/holidays/details/hf1526/hotel-ar-milin-chateaubourg
"Hotel Oceania Quimper, Quimper", Hotel , France > Brittany > QUIMPER ,https://www.brittany-ferries.co.uk/holidays/details/hf2830/hotel-oceania-quimper-quimper
"Hotel le Cheval Blanc, Honfleur", Hotel , France > Normandy > HONFLEUR ,https://www.brittany-ferries.co.uk/holidays/details/hf2447/hotel-le-cheval-blanc-honfleur
"Hotel le Fer à Cheval, Trouville", Hotel , France > Normandy > TROUVILLE ,https://www.brittany-ferries.co.uk/holidays/details/hf2684/hotel-le-fer-a-cheval-trouville
